agency_name,addr1,addr2
Clearfork Reservoir Police Department,Route 8,2678 Gass Road
Clearlake Police Department,14050 Olympic Drive, 
Clearwater County Sheriff's Office,213 Main Ave N,Dept #102
Clearwater County Sheriff's Office,Po Box 724, 
Clearwater Police Department,Po Box 453, 
Clearwater Police Department,645 Pierce Street, 
Cleburne County Sheriff's Office,914 S 9Th St, 
Cleburne County Sheriff's Office,140 Lambert Dr, 
Cleburne Police Department,Po Box 677 Po Box 657, 
Clementon Police,101 Gibbsboro Road, 
Clemson Police Department,1198 Tiger Blvd., 
Clemson University Police,Centennial Blvd, 
Clendenin Police Department,Post Office Box 694,103 1st St
Cleona Borough Police Department,140 West Walnut Street, 
Clermont County Sheriff's Office,4470 State Route 222, 
Clermont Police,9051 Crawfordsville Rd.,P. O. Box 34296
Clermont Police Department,Post Office Box 120567, 
Cleveland County Sheriff's Office,Po Box 427, 
Cleveland County Sheriff's Office,203 S Jones Ave, 
Cleveland County Sheriff's Office,Po Box 1508, 
Cleveland Heights Police Department,40 Severance Circle, 
Cleveland Metro Parks Police Department,4600 Valley Parkway, 
Cleveland Police Department,1150 West Washington Avenue,P.O. Box 87
Cleveland Police Department,111 W. Delaware, 
Cleveland Police Department,85 South Main Street, 
Cleveland Police Department,Post Office Box 186, 
Cleveland Police Department,1300 Ontario Street, 
Cleveland Police Department,Post Office Box 58, 
Cleveland Police Department,Po Box 429, 
Cleveland Police Department,100 Church Street N.E., 
Cleveland Police Department,P.O. Box 309, 
Cleveland Police Department,209 W Main Street, 
Cleveland Police Department,226 Peach St, 
Cleveland State University Police Department,2121 Euclid Ave., 
Clever Police Department,Po Box 52, 
Cleves Police Department,101 North Miami Avenue, 
Clewiston Police Department,205 West Ventura Avenue, 
Clifford Police,Post Office Box 155, 
Clifford Township Police Department,P.O. Box 272, 
Cliffside Park Police,525 Palisade Avenue, 
Clifton Forge Police Department,547 Main St., 
Clifton Heights Borough Police Department,30 S Springfield Rd, 
Clifton Police,900 Clifton Avenue, 
Clifton Police Department,P.O. Box 192, 
Clifton Police Department,P.O. Box 231, 
Clifton Police Department,P.O. Box 472,350 E. 4th Ave.
Clifton Police Department,P. O. Box 1415, 
Clifton Springs Village Police Department,One West Main Street, 
Clifton T Perkins State Hospital Center Security,8450 Dorsey Run Road, 
Climax Police Dept.,105 Drane St.,P.O. BOX 7
Clinch County Sheriff's Office,115 Court Sq, 
Clint Police Department,P.O. Box 350, 
Clinton County Sheriff's Department,207 N. Main, 
Clinton County Sheriff's Office,1645 Davids Dr, 
Clinton County Sheriff's Office,230 E Water St, 
Clinton County Sheriff's Office,241 7Th Ave N,PO Box 2957
Clinton County Sheriff's Office,25 Mccarthy Dr, 
Clinton County Sheriff's Office,301 E Walnut St, 
Clinton County Sheriff's Office,"County Courthouse, 100 S Cross St", 
Clinton County Sheriff's Office,1347 E Townsend Rd, 
Clinton County Sheriff's Office,810 Franklin St, 
Clinton Department of Public Safety,404 North Broad Street, 
Clinton Police,259 Vine Street, 
Clinton Police,P.O. Box 5194,43 Leigh Street
Clinton Police Department,27 Baker Street, 
Clinton Police Department,125 W. Broad St., 
Clinton Police Department,170 East Main Street, 
Clinton Police Department,112 S. Jefferson St., 
Clinton Police Department,Po Box 986, 
Clinton Police Department,401 Gary Freeway, 
Clinton Police Department,2209 N 1500W, 
Clinton Police Department,101 E Ohio Street, 
Clinton Police Department,176 Chestnut Street, 
Clinton Police Department,P.O. Box 1050, 
Clinton Police Department,322 East Michigan Ave, 
Clinton Police Department,113 6Th Ave S, 
Clinton Police Department,305 Monroe Street, 
Clinton Police Department,301 Cross Street,P.O. Box 129
Clinton Police Dept,118 W. Washington, 
Clinton Police Dept.,Po Box 513, 
Clinton Township Police,1370 Route 31 North, 
Clinton Township Police Department,3820 Cleveland Avenue, 
Clinton Township Police Department,37985 Groesbeck Highway, 
Clintonville Police Department,50A Tenth Street, 
Clintwood Police Department,P O Box 647, 
Clio Police Department,505 West Vienna St, 
Clio Police Department,Post Office Box 219, 
Clio Police Department,Po Box 487, 
Clive Police Department,8505 Harbach Blvd, 
Cloquet Police Department,508 Cloquet Avenue, 
Closter Police,295 Closter Dock Road, 
Cloud County Sheriff's Office,Po Box 402,9th & Broadway
Cloudcroft Police Department,P.O. Box 317, 
Clover Police Department,112 Bethel Street, 
Cloverdale Police,154 South Main Street,P. O. Box 254
Cloverdale Police Department,112 Broad Street, 
Cloverport Police Department,212 W. Main St., 
Clovis Police Department,1233 - 5Th Street, 
Clovis Police Department,P.O. Box 862, 
Clovis Unified School District Police,1465 David E. Cook Way, 
Clute Police Department,P. O. Box 997, 
Clyde Hill Police Department,9605 Ne 24Th Street, 
Clyde Police Department,P. O. Box 1347, 
Clyde Police Department,222 North Main Street, 
Clyde Police Department,Po Box 386, 
Clyde Village Police Department,Municipal Building,6 South Park Street
Clymer Borough Police Department,115 6th Street, 
Coahoma Community College Police Department,3240 Friars Point Road, 
Coahoma County Sheriff's Office,po box 1182, 
Coal City Police Dept,545 S. Broadway, 
Coal County Sheriff's Office,4 N Main St Ste 8, 
Coal Grove Police Department,513 Carleton Davidson Drive,1
Coal Hill Police Department,P.O. Box 218, 
Coal Township Police Department,805 West Lynn Street, 
Coal Valley Police Dept,Po Box 121, 
Coaldale Borough Police Department,P.O. Box 103, 
Coalgate Police Department,1 South Main, 
Coaling Police Department,P.O. Box10, 
Coalinga Police Department,270 N. 6Th Street, 
Coalton Police Department,P.O. Box 98,10 Second Street
Coast Community College District Police,1370 Adams Ave, 
Coastal Carolina University Police Dept,Po Box 261954, 
Coatesville Police Department,One City Hall Place, 
Coats Police Department,Po Box 675, 
Cobb County Arson Investigators,1595 County Services Parkway, 
Cobb County Board of Education Police,240 Barber Road, 
Cobb County Police Department,140 North Marietta Parkway, 
Cobb County Sheriff's Office,185 Roswell St Ne, 
Cobden Police Dept,112 Maple,P. O. Box 218
Cobleskill Village Police Department,378 Mineral Spring Road,P.O. Box 169
Coburg Police Department,Po Box 8316, 
Cochise County Sheriff's Office,205 N Judd Dr, 
Cochran County Constable Pct. 1,P.O.Box 358, 
Cochran County Sheriff's Office,100 N Main St Rm B7, 
Cochran Police Department,102 N. Second Street, 
Cochranton Borough Police Department,109 East Adams Street, 
Cocke County Sheriff's Office,111 Court Ave, 
Cockrell Hill Police Department,4125 W. Clarendon Drive, 
Cocoa Beach Police Department,20 South Orlando Avenue, 
Cocoa Police Department,1226 West King Street, 
Coconino County Sheriff's Office,911 E Sawmill Rd, 
Coconut Creek Police Department,4800 W. Copans Road, 
Cocopah Tribal Police Department,W. County 15Th Street & Avenue G, 
Codington County Sheriff's Office,14 1St Ave Se, 
Cody Police Department,1402 River View Dr, 
Coeburn Police Department,P.O. Box 370, 
Coeymans Town Police Department,18 Russell Avenue, 
Coffee City Police Department,P.O. Box 716, 
Coffee County Sheriff's Office,300 Hillsboro Blvd, 
Coffee County Sheriff's Office,225 Bryan St W, 
Coffee County Sheriff's Office,4 County Complex, 
Coffeen Police Dept,107 Locust St, 
Coffeeville Police Department,Post Office Box 157, 
Coffeeville Police Department,Post Office Box 10, 
Coffey County Sheriff's Office,605 Neosho St,PO Box 226
Coffeyville Police Department,Po Box 1629, 
Cohasset Police Department,62 Elm St, 
Cohoes Police Department,"City Hall, 97 Mohawk", 
Cohutta Police Department,P.O. Box 290, 
Coitsville Township Police Department,3711 Mccartney Rd., 
Coke County Constable Pct. 1,13 East 7Th Street, 
Coke County Constable Pct. 2,P. O. Box 391, 
Coke County Sheriff's Office,Po Box 9,13 E 7th St
Cokeville Police Dept,"205 West Main St,", 
Colbert County Sheriff's Office,201 N Main St, 
Colbert Police Department,P. O. Box 1179, 
Colby Community College Campus Security,1255 South Range, 
Colby Police Department,225 N Court, 
Colby-Abbotsford Police Department,203 East Birch Street,P.O. Box 454
Colchester Police Department,P.O. Box 37, 
Colchester Town Police Department,P.O. Box 321, 
Colcord Police Department,P. O. Box 133, 
Cold Spring Police Department,5589 E. Alexandria Pike, 
Cold Spring Police Department,27 Red River Ave., 
Coldspring-Oakhurst C.I.S.D. Police Dept.,P. O. Box 39, 
Coldwater Police Department,Post Office Box 352, 
Coldwater Police Department,239 E Main, 
Coldwater Police Department,303 West Main Street, 
Coldwater Police Department,57 Division, 
Cole Camp Police Department,401 W Main St   Po Box 36, 
Cole County Sheriff's Office,Po Box 426,301 E Hight St
Colebrook Police Department,17 Bridge Street, 
Colebrookdale District Police,765 W Philadelphia Ave, 
Coleman County Constable Pct. 1,"102 West Live Oak, Suite 102", 
Coleman County Sheriff's Office,100 Liveoak #101, 
Coleman Park Police,1193  Fm 1274, 
Coleman Police Department,107 West Main Street,P.O. Box 52
Coleman Police Department,Post Office Box 456, 
Coleman Police Department,P. O. Box 592, 
Coleman Police Department,201 East Railway St,PO Box 504
Colerain Township Police Department, 4200 Springdale Road, 
Coleraine Police Department,302 Roosevelt Street,P.O. BOX 670
Coleridge Police Dept,P.O. Box 276, 
Coles County Sheriff's Office,701 7Th St, 
Colfax County Sheriff's Office,411 E 11Th St, 
Colfax County Sheriff's Office,Po Box 39,440 Hereford Ave
Colfax Police,210 West Main Street,Post Office Box 323
Colfax Police Department,400 North Mill, 
Colfax Police Department,Po Box 310, 
Colfax Police Department,15 E Howard St, 
Colfax Police Department,613 Main Street,P.O. Box 417
Colfax Police Dept,307 North Harrison, 
Collbran Marshal's Office,P O Box 387, 
College Park Police Department,3717 College Street, 
College Place Police Department,625 South College Avenue, 
College Station City Marshal''s Office,300 Krenek Tap Road, 
College Station Police Department,2611 Texas Avenue, 
College of Charleston Public Safety,81-B St. Philip Street, 
College of Coastal Georgia Dept of Public Safety.,3700 Altama Ave, 
College of DuPage Public Safety Dept,425 Fawell Blvd., 
College of Eastern Utah Police,451 E 400 North, 
College of Lake County Police Dept,19351 West Washington, 
College of Marin Police,835 College Ave, 
College of New Jersey Police,2000 Pennington Road,P.O. Box 7718
College of Southern Nevada Police Dept,3200 East Cheyenne Avenue,A1A
College of The Mainland Police Dept.,Campus Police 1200 Amburn Drive, 
College of The Sequoias Police,915 S. Mooney Blvd, 
Collegedale Police Department,P.O. Box 1880, 
Collegeville Borough Police Department,491 East Main Street, 
Colleton County Sheriff's Office,112 Miller St, 
Colleyville Police Department,5201 Riverwalk Dr., 
Collier County Sheriff's Office,"3301 E Tamiami Tr, Bldg J", 
Collier Township Police Department,2418 Hilltop Road, 
Collierville Police Department,156 N. Rowlett, 
Collin County Community College Police Dept.,2800 East Spring Creek Parkway, 
Collin County Constable Pct. 1,"200 S. Mcdonald, Suite 220", 
Collin County Constable Pct. 2,P.O. Box 367, 
Collin County Constable Pct. 3,"920 E. Park Blvd., Suite 230", 
Collin County Constable Pct. 4,"8585 John Wesley Dr., Suite 100", 
Collin County Sheriff's Office,4300 Community Ave., 
Collingdale Borough Police Department,800 Macdade Blvd, 
Collingswood Police,735 North Atlantic Avenue, 
Collingsworth County Sheriff's Office,810 Belton St, 
Collins Police Department,P. O. Box 96, 
Collins Police Department,Post Office Box 400, 
Collinsville Police Department,Post Office Drawer N, 
Collinsville Police Department,P. O. Box 649, 
Collinsville Police Department,1023 W Center St., 
Collinsville Police Dept,200 West Clay Street, 
Collinwood Police Department,P.O. Box 98, 
Colma Police Department,1199 El Camino Real, 
Colman Police Department,Po Box 54,112 N. Main Street
Colmar Manor Police,3701 Lawrence St., 
Coloma Police Department,421 North Rogers Road,P.O. Box 353
Coloma Township Police Department,4919 Paw Paw Lake Rd., 
Colon Police Department,127 E State St,PO Box 50
Colona Police Dept,215 1St Street,P. O. Box 200
Colonial Beach Police Department,10 N. Irving Ave., 
Colonial Heights (City) Sheriff's Office,401 Temple Ave, 
Colonial Heights Police Dept.,100 A Highland Avenue, 
Colonial Regional Police Department,Suite 1,248 Brodhead Road
Colonie Town Police Department,Public Safety Building,312 Wolf Road
Colorado Bureau of Investigation,690 Kipling Street,Suite 3000
Colorado City Marshal's Office,P. O. Box 70, 
Colorado City Police Department,P.O. Box 912, 
Colorado County Constable Pct. 3,3290 Fm 949, 
Colorado County Constable Pct. 4,P.O. Box 396, 
Colorado County Sheriff's Office,2215 Walnut St,PO Box 607
Colorado Division of Wildlife - Law Enforcement Division,6060 Broadway, 
Colorado Mental Health Institute,1600 W. 24Th St, 
Colorado River Tribal Fish & Game,P. O. Box 777, 
Colorado River Tribal Police Dept.,"Rt. 1, Box 23-B", 
Colorado School of Mines Police Dept,1812 Illinois St., 
Colorado Springs Police Department,705 S. Nevada Ave, 
Colorado State Parks - Enforcement,13787 S Highway 85, 
Colorado State Patrol,"700 Kipling St, Ste 2000", 
Colorado State University Police Department,750 Meridian Ave.210 Green Hall, 
Colquitt County Sheriff's Office,Po Box 188,200 Veterans Parkway N
Colquitt Police Department,154 West  Street, 
Colstrip Police Department,303 Willow Avenue,PO Box 9
Colton Police Department,650 N. Lacadena Drive, 
Colts Neck Township Police,124 Cedar Drive, 
Columbia Borough Police Department,308 Locust Street,P.O. Box 509
Columbia City Police,112 South Chauncey Street, 
Columbia City Police Department,Po Box 189, 
Columbia County Marshal's Office,640 Ronald Regan Dr.Po Box 777, 
Columbia County Schools Public Safety,533 Blue Ridge Drive,4781 HEREFORD FARM ROAD
Columbia County Sheriff's Office,Po Box 576,82 Col Rd 300
Columbia County Sheriff's Office,2273 County Camp Rd,PO Box 310
Columbia County Sheriff's Office,85 Industrial Tract, 
Columbia County Sheriff's Office,901 Port Ave, 
Columbia County Sheriff's Office,341 E Main St, 
Columbia County Sheriff's Office,35 W Main St,PO Box 380
Columbia County Sheriff's Office,4917 Us Highway 90, 
Columbia County Sheriff's Office,711 E Cook St,PO Box 132
Columbia Falls Police Department,130 Sixth St West A, 
Columbia Heights Police Department,559 Mill St. Ne, 
Columbia Housing Authority Police,1917 Harden Street, 
